Round Number,Home Team,Away Team,Home Goals,Away Goals,Home Shots,Away Shots,Home Shots Keeper,Away Shots Keeper,Home Possesion,Away Possesion,Home Passes,Away Passes,Home Passes Completed,Away Passes Completed,Home Tackles,Away Tackles,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Offside,Away Offside,Home Corners,Away Corners
6,AC Milan,Salzburg,4 , 0,15,16,7,6,48,52,380,403,76,80,6,9,0,2,0,0,2,0,3,2
6,Manchester City,Sevilla,3 , 1,21,7,7,2,62,38,658,418,91,85,9,7,0,0,0,0,1,0,7,1
6,Copenhagen,Borussia Dortmund,1 , 1,22,13,9,1,42,58,446,603,80,85,9,7,2,2,0,0,3,2,3,6
6,Juventus,Paris Saint-Germain,1 , 2,15,7,2,5,47,53,559,639,90,90,14,13,3,1,0,0,3,0,0,2
6,M. Haifa,Benfica,1 , 6,10,17,2,10,42,58,447,606,81,88,10,6,3,1,0,0,2,1,3,2
7,AC Milan,Tottenham,1 , 0,9,11,4,3,47,53,404,441,79,79,17,13,2,2,0,0,1,4,3,8
7,Paris Saint-Germain,Bayern Munich,0 , 1,9,18,4,7,46,54,508,588,87,90,8,18,2,0,0,1,5,3,4,5
7,Club Brugge,Benfica,0 , 2,4,14,1,4,45,55,473,572,79,84,10,8,2,1,0,0,4,4,3,7
7,Borussia Dortmund,Chelsea,1 , 0,14,21,2,8,47,53,450,480,83,86,13,12,6,4,0,0,0,3,5,10
7,Liverpool,Real Madrid,2 , 5,9,9,5,6,52,48,555,527,85,85,9,9,1,1,0,0,0,0,4,3
7,Frankfurt,Napoli,0 , 2,5,18,1,10,30,70,298,719,75,88,12,13,1,2,1,0,1,2,4,9
7,Leipzig,Manchester City,1 , 1,7,12,4,3,38,62,427,700,85,90,12,6,1,0,0,0,3,1,2,4
7,Internazionale,FC Porto,1 , 0,18,10,4,4,60,40,495,357,83,77,15,14,1,1,0,1,0,1,6,5
8,Benfica,Club Brugge,5 , 1,20,13,8,2,60,40,609,403,91,83,3,7,1,4,0,0,4,1,2,5
8,Chelsea,Borussia Dortmund,2 , 0,13,13,4,4,39,61,313,486,74,80,17,9,4,3,0,0,6,0,5,3
8,Bayern Munich,Paris Saint-Germain,2 , 0,12,10,5,4,45,55,523,638,86,87,9,6,0,1,0,0,3,0,4,6
8,Tottenham,AC Milan,0 , 0,9,14,2,3,54,46,470,423,83,83,18,12,2,1,1,0,0,1,6,0
8,Manchester City,Leipzig,7 , 0,23,4,16,1,67,33,647,332,91,78,10,7,2,2,0,0,1,2,10,0
8,FC Porto,Internazionale,0 , 0,21,11,7,5,68,32,606,290,85,68,11,18,0,3,1,0,2,2,6,3
8,Real Madrid,Liverpool,1 , 0,9,9,5,6,52,48,555,527,85,85,9,9,1,1,0,0,0,0,4,3
8,Napoli,Frankfurt,3 , 0,12,8,8,1,60,40,612,409,87,79,13,15,1,3,0,0,2,0,4,3
9,Benfica,Internazionale,0 , 2,12,9,2,4,58,42,605,432,87,83,11,9,1,2,0,0,1,1,4,6
9,Manchester City,Bayern Munich,3 , 0,17,12,9,4,44,56,427,558,82,87,11,8,1,2,0,0,0,1,8,5
9,Real Madrid,Chelsea,2 , 0,18,7,10,3,57,43,643,480,89,82,10,10,3,2,0,1,1,0,3,3
9,AC Milan,Napoli,1 , 0,12,16,2,6,46,54,417,472,81,83,16,13,3,4,0,1,1,0,3,10
10,Napoli,AC Milan,1 , 1,23,6,4,4,74,26,601,223,88,72,14,12,2,2,0,0,0,1,16,1
10,Chelsea,Real Madrid,0 , 2,19,9,6,6,55,45,549,476,90,87,16,8,3,1,0,0,2,2,8,2
10,Bayern Munich,Manchester City,1 , 1,19,7,7,2,58,42,536,394,89,86,12,11,6,4,0,0,2,2,5,2
10,Internazionale,Benfica,3 , 3,11,12,3,5,40,60,428,646,78,84,13,10,0,3,0,0,1,2,4,6
11,Real Madrid,Manchester City,1 , 1,13,10,4,6,44,56,452,565,86,90,11,11,2,2,0,0,0,2,8,7
11,AC Milan,Internazionale,0 , 2,13,16,2,6,58,42,470,350,83,77,14,16,2,1,0,0,2,2,2,3
12,Internazionale,AC Milan,1 , 0,15,5,4,1,43,57,332,430,79,83,15,22,2,4,0,0,1,0,5,3
12,Manchester City,Real Madrid,4 , 0,16,7,8,3,60,40,618,421,89,82,16,14,3,2,0,0,0,0,7,3
13,Manchester City,Internazionale,1 , 0,7,14,4,6,56,44,512,394,86,82,11,17,2,3,0,0,1,1,2,4
